,year,make,mileage,dealer_rating,days_listed,price,market_price,city,state
0,2008,Mercedes-Benz,79870,3.5,1,13995,16680,Bridgeport,NY
1,2010,Ford,101241,4.0,176,9580,11558,Spencerport,NY
2,2012,Hyundai,85729,3.5,99,7900,9741,Williamsville,NY
3,2013,Subaru,84505,3.0,126,10988,15408,Oakfield,NY
4,2011,Chevrolet,153941,5.0,117,16900,23809,Elba,NY
5,2015,GMC,20628,4.5,169,19000,23350,GREAT VALLEY,NY
6,2003,Chevrolet,109032,5.0,97,4495,9950,Rochester,NY
7,2011,Honda,62255,3.5,28,11995,15454,Auburn,NY
8,2015,GMC,22105,4.5,169,19000,23223,GREAT VALLEY,NY
9,2011,Chevrolet,125000,5.0,212,8995,13316,Akron,NY
10,2013,Chevrolet,58126,4.0,528,30000,35752,Farmington,NY
11,2014,Chevrolet,12112,5.0,1,12995,16465,Ontario,NY
12,2014,Lexus,29775,3.5,6,20950,26657,Mansfield,PA
13,2011,GMC,107826,4.5,198,12400,16472,Rome,NY
14,2012,Volvo,94000,3.0,21,14995,18978,Lockport,NY
15,2014,Ford,41728,4.0,78,13999,18792,Medina,NY
16,2015,Dodge,2970,4.0,15,14995,20154,Bergen,NY
17,2011,Chevrolet,102050,4.0,98,19995,25416,Lockport,NY
18,2009,Ford,92093,4.5,60,17500,18466,Batavia,NY
19,2012,Hyundai,85727,4.0,31,10901,14259,Canandaigua,NY
20,2014,Toyota,29815,5.0,60,13995,17431,Fayetteville,NY
21,2003,Ford,107104,4.5,134,4100,8349,Rome,NY
22,2016,Ram,14890,5.0,31,34414,44345,Orchard Park,NY
23,2014,Hyundai,72936,3.5,19,9995,14029,Watertown,NY
24,2014,GMC,27226,4.5,124,18000,21612,GREAT VALLEY,NY
25,2013,Buick,44272,4.5,86,11000,14305,GREAT VALLEY,NY
26,2013,Hyundai,87076,5.0,16,7495,10678,Fairport,NY
27,2014,Ford,47000,5.0,6,8000,11502,Pittsford,NY
