,address,days_listed,dealer_rating,make,market_price,mileage,price,year
0,"Ontario, NY",< 1 day on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i></span>","2014 Chevrolet Malibu LT           Viewed
","Instant Market Value of $16,465","Mileage: 12,112 mi","$12,995 
 $236/est. mo
","2014 Chevrolet Malibu LT           Viewed
"
1,"Binghamton, NY",1 day on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2014 Ford Escape Titanium 4WD           Viewed
","Instant Market Value of $16,330","Mileage: 98,841 mi","$13,997 
 $254/est. mo
","2014 Ford Escape Titanium 4WD           Viewed
"
2,"Glenville, NY",10 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_half""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2007 Mercedes-Benz GL-Class GL450           Viewed
","Instant Market Value of $17,385","Mileage: 92,997 mi","$14,995 
 $272/est. mo
","2007 Mercedes-Benz GL-Class GL450           Viewed
"
3,"Binghamton, NY",2 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i></span>","2011 Ford F-350 Super Duty            Viewed
","Instant Market Value of $25,080","Mileage: 168,500 mi","$11,950 
 $217/est. mo
","2011 Ford F-350 Super Duty            Viewed
"
4,"Auburn, NY",28 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_half""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2011 Honda CR-V SE AWD           Viewed
","Instant Market Value of $15,454","Mileage: 62,255 mi","$11,995 $12,995
 $218/est. mo
","2011 Honda CR-V SE AWD           Viewed
"
5,"Farmington, NY",528 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2013 Chevrolet Tahoe LTZ 4WD           Viewed
","Instant Market Value of $35,752","Mileage: 58,126 mi","$30,000 
 $544/est. mo
","2013 Chevrolet Tahoe LTZ 4WD           Viewed
"
6,"Saratoga Springs, NY",114 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2011 Dodge Durango Crew AWD           Viewed
","Instant Market Value of $22,344","Mileage: 58,805 mi","$17,555 
 $318/est. mo
","2011 Dodge Durango Crew AWD           Viewed
"
7,"Sidney, NY",119 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_half""></i></span>","2011 Chrysler 200 Limited Convertible           Viewed
","Instant Market Value of $16,221","Mileage: 56,600 mi","$11,975 $13,975
 $217/est. mo
","2011 Chrysler 200 Limited Convertible           Viewed
"
8,"Ontario, NY",< 1 day on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i></span>","2014 Chevrolet Malibu LT           Viewed
","Instant Market Value of $16,465","Mileage: 12,112 mi","$12,995 
 $236/est. mo
","2014 Chevrolet Malibu LT           Viewed
"
9,"Rome, NY",198 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_half""></i></span>","2011 GMC Canyon SLE1 Crew Cab 4WD           Viewed
","Instant Market Value of $16,472","Mileage: 107,826 mi","$12,400 
 $225/est. mo
","2011 GMC Canyon SLE1 Crew Cab 4WD           Viewed
"
