,year,make,mileage,dealer_rating,days_listed,price,market_price,city,state
0,2012,Mercedes-Benz,36734,3.0,14,16490,20917,Long Island City,NY
1,2015,Subaru,46703,4.0,99,18000,20884,Wallingford,CT
2,2010,Mercedes-Benz,37659,4.5,67,18995,22634,Trenton,NJ
3,2016,Jeep,6954,2.5,1,13995,20463,Bronx,NY
4,2010,Honda,70367,3.5,136,6995,10690,Lindenhurst,NY
5,2016,Ford,17414,3.5,1,25989,46100,Levittown,NY
6,2010,Toyota,61812,2.5,62,5993,10317,Jamaica,NY
7,2014,Toyota,45637,4.0,11,10999,14637,Langhorne,PA
8,2016,Ford,16034,4.5,1,26995,46257,Woodbury,NJ
9,2015,Lincoln,13082,4.0,307,24998,32899,Waterbury,CT
10,2016,Ford,9625,2.0,1,12995,18847,Newark,NJ
11,2013,GMC,27648,3.0,36,24995,30075,Middle Village,NY
12,2014,Nissan,63375,3.0,1,13999,19515,Queens,NY
13,2013,Nissan,79000,5.0,132,6500,10412,South Hackensack Twp,NJ
14,2008,Ford,96988,3.0,15,11999,24701,Walden,NY
15,2013,Cadillac,28600,3.0,63,21995,27794,Naugatuck,CT
16,2014,Ford,45114,5.0,50,26995,33992,Teterboro,NJ
17,2011,Honda,26097,5.0,3,8995,12688,Oakland Gardens,NY
18,2016,Chevrolet,4491,3.5,157,12495,16579,Bronx,NY
19,2016,Subaru,4217,4.0,46,20995,24673,Allentown,PA
20,2013,Nissan,32854,5.0,79,21990,28082,Hempstead,NY
21,2011,Honda,59300,3.0,163,11995,16653,Naugatuck,CT
22,2012,Mazda,50397,3.5,91,13995,18709,Parsippany,NJ
23,2011,Chevrolet,31365,3.5,164,7895,12065,Lodi,NJ
24,2009,Toyota,86520,4.0,53,9371,12813,Jamaica,NY
25,2015,Mazda,12168,5.0,70,22500,26453,Huntington,NY
26,2013,GMC,38451,3.0,72,28985,35611,Richmond Hill,NY
27,2013,BMW,40254,2.5,182,18331,25999,Elizabeth,NJ
28,2014,Audi,28100,3.0,47,21495,27615,Naugatuck,CT
29,2013,Jeep,39616,4.0,65,22317,26874,Jamaica,NY
30,2009,Nissan,79000,5.0,70,12386,16306,Newburgh,NY
