,address,days_listed,dealer_rating,make,market_price,mileage,price,year
0,"Jamaica, NY",84 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2010 Toyota Venza Base AWD           Viewed
","Instant Market Value of $14,788","Mileage: 84,025 mi","$11,691 $11,995
 $212/est. mo
","2010 Toyota Venza Base AWD           Viewed
"
1,"Jamaica, NY",12 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_half""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2013 Honda Civic EX           Viewed
","Instant Market Value of $14,057","Mileage: 39,808 mi","$11,253 $11,995
 $204/est. mo
","2013 Honda Civic EX           Viewed
"
2,"Brooklyn, NY",126 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2011 Nissan Rogue S AWD           Viewed
","Instant Market Value of $12,899","Mileage: 56,722 mi","$9,380 
 $170/est. mo
","2011 Nissan Rogue S AWD           Viewed
"
3,"South Hackensack Twp, NJ",130 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i></span>","2013 Nissan Sentra SV           Viewed
","Instant Market Value of $10,422","Mileage: 79,000 mi","$6,500 
 $118/est. mo
","2013 Nissan Sentra SV           Viewed
"
4,"Lindenhurst, NY",134 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_half""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2010 Honda Civic EX           Viewed
","Instant Market Value of $10,676","Mileage: 70,367 mi","$6,995 $8,995
 $127/est. mo
","2010 Honda Civic EX           Viewed
"
5,"Brooklyn, NY",< 1 day on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2013 Nissan Sentra SR           Viewed
","Instant Market Value of $12,526","Mileage: 38,032 mi","$7,980 
 $145/est. mo
","2013 Nissan Sentra SR           Viewed
"
6,"Middle Village, NY",34 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2013 GMC Acadia SLT1 AWD           Viewed
","Instant Market Value of $30,071","Mileage: 27,648 mi","$24,995 
 $453/est. mo
","2013 GMC Acadia SLT1 AWD           Viewed
"
7,"Elizabeth, NJ",180 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_half""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2013 BMW 3 Series 328i xDrive Sedan           Viewed
","Instant Market Value of $26,125","Mileage: 40,254 mi","$18,331 
 $332/est. mo
","2013 BMW 3 Series 328i xDrive Sedan           Viewed
"
8,"North Bergen, NJ",8 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_half""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2005 Volvo S60 2.5T AWD           Viewed
","Instant Market Value of $5,108","Mileage: 156,667 mi","$1,700 
 $31/est. mo
","2005 Volvo S60 2.5T AWD           Viewed
"
9,"Elizabeth, NJ",37 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2014 Chevrolet Cruze 1LT           Viewed
","Instant Market Value of $14,628","Mileage: 7,253 mi","$10,995 
 $200/est. mo
","2014 Chevrolet Cruze 1LT           Viewed
"
