,year,make,mileage,dealer_rating,days_listed,price,market_price,city,state
0,2008,Dodge,81633,4.0,124,11000,13279,Latham,NY
1,2013,Hyundai,44272,4.0,20,10995,12477,Albany,NY
2,2006,Ford,100876,4.0,16,13000,14770,Latham,NY
3,2011,Ford,168500,5.0,1,11950,24910,Binghamton,NY
4,2011,GMC,12800,4.5,21,22999,29081,Sidney,NY
5,2013,Chevrolet,58126,4.0,526,30000,35838,Farmington,NY
6,2011,Dodge,58805,3.0,112,17555,22319,Saratoga Springs,NY
7,2014,Chevrolet,31618,3.5,125,11495,15851,AMSTERDAM,NY
8,1992,Chevrolet,27061,2.5,50,9995,16380,Central Square,NY
9,2014,Toyota,29815,5.0,58,13995,17462,Fayetteville,NY
10,2014,Mercedes-Benz,29037,4.5,23,27900,33733,Barneveld,NY
11,2013,Lincoln,58549,4.5,2,19995,25355,Burnt Hills,NY
12,2013,Hyundai,87076,5.0,14,7495,10687,Fairport,NY
13,2014,Hyundai,72936,3.5,17,9995,14031,Watertown,NY
14,2012,Hyundai,85727,4.0,29,10901,14190,Canandaigua,NY
15,2005,Chevrolet,146543,5.0,41,8995,14428,Rome,NY
16,2011,GMC,107826,4.5,196,12700,16571,Rome,NY
17,2014,Ford,47000,5.0,4,8000,11507,Pittsford,NY
18,2008,Nissan,123686,3.5,6,13995,15849,Bridgeport,NY
19,2013,Nissan,56000,5.0,64,7995,11193,Fairport,NY
20,2010,Toyota,85000,4.0,36,7995,11109,Webster,NY
21,2012,BMW,55110,4.0,139,21985,28343,Albany,NY
22,2004,Toyota,139000,5.0,47,5950,9303,Latham,NY
23,2011,Chevrolet,100232,4.0,7,8995,12749,Binghamton,NY
24,2003,Ford,107104,4.5,133,4400,8393,Rome,NY
25,2010,Ford,88000,5.0,14,16800,20686,Pittsford,NY
26,2014,Hyundai,12918,3.5,20,16495,20951,Glenville,NY
27,2008,Ford,140356,5.0,41,15989,23155,Geneva,NY
28,2008,Chevrolet,27594,3.0,71,15995,20945,Whitney Point,NY
29,2013,Hyundai,49565,5.0,1,14950,18208,Binghamton,NY
30,2013,Chevrolet,31110,4.5,7,9999,12644,Sidney,NY
31,2015,Audi,21780,4.0,61,27985,31298,Oswego,NY
32,2012,Kia,63259,4.0,57,10995,14660,Albany,NY
33,2013,Jeep,45945,5.0,79,18995,23314,Fayetteville,NY
34,2008,Ford,85000,3.0,140,7495,10952,Schenectady,NY
35,2012,Chevrolet,41402,5.0,45,29999,34942,Vestal,NY
36,2003,Chevrolet,102000,5.0,29,5495,9566,Central Square,NY
37,2015,Ford,28498,3.5,89,35995,48601,Bridgeport,NY
38,2014,Chevrolet,35000,5.0,15,9995,12808,Cortland,NY
39,2006,Chevrolet,133930,4.5,2,9999,14041,Phoenix,NY
40,2014,Nissan,20532,4.5,1,14997,19986,Ballston Spa,NY
41,2014,BMW,42366,4.5,14,39880,46231,Latham,NY
42,2013,Dodge,57000,4.5,384,8775,11779,Sidney,NY
43,2006,Chevrolet,63518,4.0,36,18490,24018,Victor,NY
44,2008,Chevrolet,49782,5.0,75,15995,24505,Sayre,PA
45,2007,Chevrolet,82300,3.5,5,16995,21731,Bridgeport,NY
46,2012,Ford,98912,4.5,105,24995,32734,Clifton Park,NY
47,2011,Kia,74006,3.5,1,7995,11172,Bridgeport,NY
48,2008,BMW,102044,5.0,26,11995,15367,Fairport,NY
49,2013,Chevrolet,8150,5.0,6,13900,17151,Endicott,NY
50,2013,Chevrolet,15637,4.5,64,12725,15841,Endicott,NY
51,2008,Chevrolet,124000,5.0,80,5495,8260,Schenectady,NY
52,2011,Ford,64783,4.0,57,8997,11861,Binghamton,NY
53,2011,Ford,58400,4.5,160,8975,12041,Sidney,NY
54,2007,Jeep,91189,5.0,59,6950,9435,Rome,NY
55,2014,Chevrolet,41407,4.5,68,12995,16245,East Syracuse,NY
56,2006,Cadillac,69000,5.0,3,6500,10038,Albany,NY
57,2006,Mercedes-Benz,119678,4.5,13,6400,9754,Voorheesville,NY
58,2013,Ford,35119,5.0,225,20600,24509,Sayre,PA
59,2010,Chevrolet,86000,4.0,20,4000,6851,Latham,NY
60,2014,Chevrolet,71232,4.5,6,14200,17465,Barneveld,NY
61,2010,Toyota,120874,4.0,8,6995,10084,Yorkville,NY
62,2011,Ford,81534,4.0,174,18000,21724,Wolcott,NY
63,2008,Chevrolet,71332,4.5,57,18400,22068,Rome,NY
64,2008,Pontiac,126000,5.0,95,3000,5807,Utica,NY
65,2013,Chevrolet,40181,4.0,21,16995,20148,Ballston Spa,NY
66,2011,Ford,69775,3.5,5,14999,22262,Ithaca,NY
67,2014,Dodge,28187,4.5,14,18300,21558,Rome,NY
68,2004,Ford,138711,4.0,83,4999,9596,Albany,NY
69,2011,Lincoln,98000,5.0,164,21500,27707,Manlius,NY
70,2007,BMW,28500,4.5,6,17495,20540,Cicero,NY
71,2011,Dodge,42539,4.0,24,19901,23470,Canandaigua,NY
72,2010,Audi,63284,4.5,6,15900,18977,Barneveld,NY
73,2012,Ford,57790,5.0,37,11995,14962,Elmira,NY
74,2013,Ford,53336,4.0,1,6995,9896,Albany,NY
75,2016,BMW,950,4.5,260,69979,77567,Glenmont,NY
76,2008,Volvo,146554,1.0,44,6499,10099,Rochester,NY
77,2007,Ford,84253,2.5,27,6999,9810,Central Square,NY
78,2015,Hyundai,20399,4.0,138,17885,21184,Oswego,NY
