,address,days_listed,dealer_rating,make,market_price,mileage,price,year
0,"Latham, NY",124 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2008 Dodge Ram 1500 ST 4WD           Viewed
","Instant Market Value of $13,279","Mileage: 81,633 mi","$11,000 
 $200/est. mo
","2008 Dodge Ram 1500 ST 4WD           Viewed
"
1,"Albany, NY",20 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2013 Hyundai Sonata GLS           Viewed
","Instant Market Value of $12,477","Mileage: 44,272 mi","$10,995 
 $200/est. mo
","2013 Hyundai Sonata GLS           Viewed
"
2,"Latham, NY",16 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2006 Ford F-150 XLT SuperCrew Styleside 4WD           Viewed
","Instant Market Value of $14,770","Mileage: 100,876 mi","$13,000 
 $236/est. mo
","2006 Ford F-150 XLT SuperCrew Styleside 4WD           Viewed
"
3,"Binghamton, NY",< 1 day on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i></span>","2011 Ford F-350 Super Duty            Viewed
","Instant Market Value of $24,910","Mileage: 168,500 mi","$11,950 
 $217/est. mo
","2011 Ford F-350 Super Duty            Viewed
"
4,"Sidney, NY",21 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_half""></i></span>","2011 GMC Sierra 1500 SLE Crew Cab 4WD           Viewed
","Instant Market Value of $29,081","Mileage: 12,800 mi","$22,999 $85,607
 $417/est. mo
","2011 GMC Sierra 1500 SLE Crew Cab 4WD           Viewed
"
5,"Farmington, NY",526 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2013 Chevrolet Tahoe LTZ 4WD           Viewed
","Instant Market Value of $35,838","Mileage: 58,126 mi","$30,000 
 $544/est. mo
","2013 Chevrolet Tahoe LTZ 4WD           Viewed
"
6,"Saratoga Springs, NY",112 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2011 Dodge Durango Crew AWD           Viewed
","Instant Market Value of $22,319","Mileage: 58,805 mi","$17,555 
 $318/est. mo
","2011 Dodge Durango Crew AWD           Viewed
"
7,"AMSTERDAM, NY",125 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_half""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2014 Chevrolet Impala Limited LT           Viewed
","Instant Market Value of $15,851","Mileage: 31,618 mi","$11,495 
 $209/est. mo
","2014 Chevrolet Impala Limited LT           Viewed
"
8,"Central Square, NY",50 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_half""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","1992 Chevrolet Corvette Convertible           Viewed
","Instant Market Value of $16,380","Mileage: 27,061 mi","$9,995 
 $181/est. mo
","1992 Chevrolet Corvette Convertible           Viewed
"
9,"Fayetteville, NY",58 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i></span>","2014 Toyota Camry XLE           Viewed
","Instant Market Value of $17,462","Mileage: 29,815 mi","$13,995 
 $254/est. mo
","2014 Toyota Camry XLE           Viewed
"
