,year,make,mileage,dealer_rating,days_listed,price,market_price,city,state
0,2015,Chrysler,39720,3.0,11,9980,14062,Woodside,NY
1,2012,Mercedes-Benz,67000,3.0,46,27950,34552,Little Neck,NY
2,2010,Nissan,79692,3.5,221,10495,13531,Bronx,NY
3,2008,Nissan,71000,5.0,5,9500,14014,Perth Amboy,NJ
4,2011,Chevrolet,31365,3.5,159,7895,12093,Lodi,NJ
5,2014,Honda,25769,3.0,55,12995,16816,Newark,NJ
6,2013,GMC,27648,3.0,31,24995,30086,Middle Village,NY
7,2010,Toyota,61812,2.5,57,5993,10322,Jamaica,NY
8,2014,Chevrolet,7253,4.0,34,10995,14614,Elizabeth,NJ
9,2013,Nissan,48863,2.5,23,9992,14857,Jamaica,NY
10,2015,Mazda,12168,5.0,65,22500,26499,Huntington,NY
11,2014,Honda,24641,5.0,10,10850,14560,Elizabeth,NJ
12,2013,Volkswagen,34657,3.0,18,8890,13038,Brooklyn,NY
13,2010,Nissan,50067,3.5,101,10995,15199,Lindenhurst,NY
14,2013,Nissan,32854,5.0,74,21990,28044,Hempstead,NY
15,2013,Infiniti,35957,3.0,46,16790,22122,Brooklyn,NY
16,2013,Honda,19950,3.5,54,10500,13754,Hicksville,NY
17,2005,Volvo,156667,3.5,5,1700,5063,North Bergen,NJ
18,2011,Ford,103930,3.5,380,20995,23957,South River,NJ
19,2009,Honda,94420,5.0,9,8491,11926,Paterson,NJ
20,2013,MINI,40546,3.0,52,9990,13973,Bronx,NY
21,2013,Lexus,26894,4.0,3,24196,29886,Englewood,NJ
22,2008,Lexus,125000,5.0,8,8999,13485,Brooklyn,NY
23,2013,Honda,29792,5.0,37,19995,23710,Freehold,NJ
24,2004,Honda,114000,5.0,27,2700,6422,Brooklyn,NY
25,2013,Honda,17519,2.5,9,11852,15324,Jamaica,NY
26,2015,Jeep,31715,4.5,128,25949,31657,Parsippany,NJ
27,2007,Toyota,87389,3.5,99,6990,10675,Union City,NJ
28,2014,Ford,17450,3.5,48,8995,13204,Medford,NY
29,2015,Mazda,35439,5.0,71,15495,19556,Woodside,NY
30,2013,Lexus,31496,4.5,78,23900,29500,Ramsey,NJ
31,2013,Subaru,17416,4.0,5,16500,20241,Long Island City,NY
32,2011,Subaru,30392,3.0,6,11500,16171,Staten Island,NY
33,2007,Jeep,119523,3.5,55,4999,9010,North Bergen,NJ
34,2011,Chrysler,23264,3.5,235,11995,16252,Newark,NJ
35,2013,Ford,25858,3.0,74,10890,15391,Brooklyn,NY
36,2006,BMW,85134,4.5,125,14942,22190,Carlstadt,NJ
37,2013,Hyundai,13764,3.0,5,9999,13287,Jamaica,NY
38,2013,Honda,35486,2.5,8,9995,13196,Morganville,NJ
39,2011,Jeep,60792,3.5,32,16495,20986,Irvington,NJ
40,2013,Hyundai,35987,3.5,105,9495,13362,Bronx,NY
41,2014,Lexus,22332,3.5,67,30000,35528,Farmingdale,NY
42,2007,Land Rover,64000,5.0,1,15000,20279,Westfield,NJ
43,2015,Honda,2165,2.5,82,14450,18048,Bayonne,NJ
44,2013,Audi,22098,3.0,73,17995,22356,Bayside,NY
45,2011,Chevrolet,76208,2.5,151,7993,12355,Jamaica,NY
46,2007,Ford,74229,2.5,16,10995,17205,Morganville,NJ
47,2009,BMW,51543,3.5,3,14995,19738,Elmhurst,NY
48,2009,Mercedes-Benz,85840,4.5,44,18895,25738,Somerville,NJ
49,2014,Ford,40144,3.0,44,27940,33811,Jamaica,NY
50,2013,Ford,40036,3.0,37,19480,24617,Long Island City,NY
51,2012,Infiniti,41770,3.0,11,13890,19406,Brooklyn,NY
52,2013,Lincoln,16600,4.0,30,16800,23743,Elmhurst,NY
53,2007,BMW,72290,4.0,23,8495,12188,Lodi,NJ
54,2013,Kia,36060,2.5,23,10995,15690,Jamaica,NY
55,2012,Honda,29930,1.0,72,12988,16204,Brooklyn,NY
56,2014,Jeep,27550,4.0,66,12500,15813,Peapack,NJ
57,2014,Mercedes-Benz,34220,5.0,127,29990,37026,Passaic,NJ
58,2013,Ford,64104,3.0,50,17995,23722,Bayside,NY
59,2013,Hyundai,40526,2.5,38,8995,13122,Jamaica,NY
60,2010,Toyota,121249,1.0,187,7999,12900,Brooklyn,NY
61,2013,Toyota,24626,3.5,211,19949,26062,Huntington Station,NY
62,2012,Jeep,86558,2.5,37,9253,13963,Jamaica,NY
63,2014,Ford,45114,5.0,45,26995,33931,Teterboro,NJ
64,2013,Ford,45801,4.0,47,19995,25493,Elmhurst,NY
65,2009,Toyota,91299,3.5,5,4999,8235,Paterson,NJ
66,2013,Ford,40036,3.0,11,19480,24617,Woodside,NY
67,2013,Honda,48509,2.5,8,10995,14523,Jamaica,NY
68,2010,Hyundai,31299,3.5,14,9991,13631,Bronx,NY
69,2015,Mazda,19206,5.0,1,11995,15169,Jamaica,NY
70,2008,BMW,122251,1.5,307,5999,10652,Brooklyn,NY
71,2012,Honda,74375,2.5,51,16563,21403,Jamaica,NY
72,2013,Infiniti,69901,4.5,152,21549,26874,Parsippany,NJ
73,2013,Volkswagen,32584,4.0,41,11995,15880,Hempstead,NY
74,2013,Audi,58168,3.0,74,16990,21525,Bronx,NY
75,2010,Mercedes-Benz,87075,4.0,1,14995,20695,Great Neck,NY
76,2009,Toyota,101532,1.0,22,7495,12096,Brooklyn,NY
77,2015,Toyota,48163,5.0,12,22996,29926,Brooklyn,NY
78,2011,Audi,33151,4.0,5,19995,24530,Hempstead,NY
79,2015,Chevrolet,6231,3.5,2,46995,53509,Maplewood,NJ
80,2013,Infiniti,35381,3.0,46,16890,21875,Brooklyn,NY
81,2013,Toyota,44104,5.0,48,20995,25465,Hasbrouck Heights,NJ
82,2010,Audi,66149,3.0,8,16890,21503,Brooklyn,NY
83,2013,Nissan,50004,4.5,184,11995,15769,Jamaica,NY
84,2012,Dodge,56711,3.0,40,9995,13790,Queens Village,NY
85,2014,BMW,20131,3.5,390,32890,39728,Great Neck,NY
86,2011,GMC,88956,2.5,163,10995,15201,Morganville,NJ
87,2013,Mercedes-Benz,16505,3.0,16,19998,24632,Jamaica,NY
88,2013,Infiniti,35743,3.0,18,16890,21840,Brooklyn,NY
89,2013,GMC,91597,3.0,95,16803,20912,AVENEL,NJ
90,2008,Subaru,84434,5.0,90,9998,15316,Jamaica,NY
91,2014,Subaru,31323,3.5,48,12990,16313,Parsippany,NJ
92,2013,Chevrolet,58577,3.0,80,9999,13660,Jamaica,NY
93,2012,Nissan,56687,2.5,23,8995,13827,Jamaica,NY
94,2008,Cadillac,41311,3.5,89,10995,16120,Bronx,NY
95,2016,Mercedes-Benz,1225,4.0,220,44989,56564,Long Island City,NY
96,2011,Hyundai,74604,2.5,291,8995,12807,Jamaica,NY
97,2013,Subaru,3107,3.0,10,14500,17727,Staten Island,NY
98,2013,Ford,29606,4.0,179,19985,24756,Wayne,NJ
99,2013,Jeep,39616,4.5,60,22995,27043,Jamaica,NY
100,2010,Ford,86215,2.5,38,7999,12087,Morganville,NJ
101,2015,Chevrolet,3077,4.5,48,27388,32877,Jersey City,NJ
102,2013,Chevrolet,58259,4.5,1,10999,14508,Jersey City,NJ
103,2013,Ford,33390,3.0,209,11999,15815,Jamaica,NY
104,2012,Toyota,60999,4.5,73,18295,22527,Teterboro,NJ
105,2012,Nissan,14427,4.5,79,14995,18642,Jamaica,NY
106,2013,Scion,25590,4.0,32,10977,14591,Little Falls,NJ
107,2010,Chrysler,108401,4.0,59,5000,8978,Bronx,NY
108,2011,GMC,107427,4.0,7,15990,20328,Jersey City,NJ
109,2011,Cadillac,46036,4.0,89,14995,19441,Freeport,NY
110,2011,Hyundai,77068,3.5,15,6495,10132,Irvington,NJ
111,2013,Mercedes-Benz,23985,3.0,12,18980,23783,Richmond Hill,NY
112,2010,Porsche,24000,3.5,445,26995,31892,Flushing,NY
113,2014,Jeep,21180,4.0,13,20988,25105,Sayville,NY
114,2011,BMW,37695,2.5,132,17995,23158,Morganville,NJ
115,2009,Mercedes-Benz,54589,5.0,5,22995,29656,Oceanside,NY
