,address,days_listed,dealer_rating,make,market_price,mileage,price,year
0,"Woodside, NY",11 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2015 Chrysler 200 Limited           Viewed
","Instant Market Value of $14,062","Mileage: 39,720 mi","$9,980 
 $181/est. mo
","2015 Chrysler 200 Limited           Viewed
"
1,"Little Neck, NY",46 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2012 Mercedes-Benz CLS-Class CLS550 4MATIC           Viewed
","Instant Market Value of $34,552","Mileage: 67,000 mi","$27,950 $28,750
 $506/est. mo
","2012 Mercedes-Benz CLS-Class CLS550 4MATIC           Viewed
"
2,"Bronx, NY",221 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_half""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2010 Nissan Maxima SV           Viewed
","Instant Market Value of $13,531","Mileage: 79,692 mi","$10,495 
 $190/est. mo
","2010 Nissan Maxima SV           Viewed
"
3,"Perth Amboy, NJ",5 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue"">none</span>","2008 Nissan Pathfinder SE 4X4           Viewed
","Instant Market Value of $14,014","Mileage: 71,000 mi","$9,500 
 $172/est. mo
","2008 Nissan Pathfinder SE 4X4           Viewed
"
4,"Lodi, NJ",159 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_half""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2011 Chevrolet Malibu LT           Viewed
","Instant Market Value of $12,093","Mileage: 31,365 mi","$7,895 $8,895
 $143/est. mo
","2011 Chevrolet Malibu LT           Viewed
"
5,"Newark, NJ",55 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2014 Honda Accord LX           Viewed
","Instant Market Value of $16,816","Mileage: 25,769 mi","$12,995 
 $236/est. mo
","2014 Honda Accord LX           Viewed
"
6,"Middle Village, NY",31 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2013 GMC Acadia SLT1 AWD           Viewed
","Instant Market Value of $30,086","Mileage: 27,648 mi","$24,995 
 $453/est. mo
","2013 GMC Acadia SLT1 AWD           Viewed
"
7,"Jamaica, NY",57 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_half""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2010 Toyota Corolla            Viewed
","Instant Market Value of $10,322","Mileage: 61,812 mi","$5,993 $6,993
 $109/est. mo
","2010 Toyota Corolla            Viewed
"
8,"Elizabeth, NJ",34 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2014 Chevrolet Cruze 1LT           Viewed
","Instant Market Value of $14,614","Mileage: 7,253 mi","$10,995 
 $200/est. mo
","2014 Chevrolet Cruze 1LT           Viewed
"
9,"Jamaica, NY",23 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_half""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2013 Nissan Rogue S AWD           Viewed
","Instant Market Value of $14,857","Mileage: 48,863 mi","$9,992 $10,520
 $181/est. mo
","2013 Nissan Rogue S AWD           Viewed
"
10,"Huntington, NY",65 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i></span>","2015 Mazda CX-5 Grand Touring AWD           Viewed
","Instant Market Value of $26,499","Mileage: 12,168 mi","$22,500 $23,500
 $408/est. mo
","2015 Mazda CX-5 Grand Touring AWD           Viewed
"
11,"Elizabeth, NJ",10 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue"">none</span>","2014 Honda Civic LX           Viewed
","Instant Market Value of $14,560","Mileage: 24,641 mi","$10,850 
 $197/est. mo
","2014 Honda Civic LX           Viewed
"
12,"Brooklyn, NY",18 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2013 Volkswagen Jetta SE PZEV           Viewed
","Instant Market Value of $13,038","Mileage: 34,657 mi","$8,890 
 $161/est. mo
","2013 Volkswagen Jetta SE PZEV           Viewed
"
13,"Lindenhurst, NY",101 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_half""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2010 Nissan Maxima SV           Viewed
","Instant Market Value of $15,199","Mileage: 50,067 mi","$10,995 
 $200/est. mo
","2010 Nissan Maxima SV           Viewed
"
14,"Hempstead, NY",74 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i></span>","2013 Nissan Pathfinder Platinum 4WD           Viewed
","Instant Market Value of $28,044","Mileage: 32,854 mi","$21,990 
 $399/est. mo
","2013 Nissan Pathfinder Platinum 4WD           Viewed
"
15,"Brooklyn, NY",46 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2013 Infiniti G37 xAWD           Viewed
","Instant Market Value of $22,122","Mileage: 35,957 mi","$16,790 
 $304/est. mo
","2013 Infiniti G37 xAWD           Viewed
"
16,"Hicksville, NY",54 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_half""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2013 Honda Civic Coupe LX           Viewed
","Instant Market Value of $13,754","Mileage: 19,950 mi","$10,500 
 $191/est. mo
","2013 Honda Civic Coupe LX           Viewed
"
17,"North Bergen, NJ",5 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_half""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2005 Volvo S60 2.5T AWD           Viewed
","Instant Market Value of $5,063","Mileage: 156,667 mi","$1,700 
 $31/est. mo
","2005 Volvo S60 2.5T AWD           Viewed
"
18,"South River, NJ",380 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_half""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2011 Ford F-150 Lariat SuperCrew 4WD           Viewed
","Instant Market Value of $23,957","Mileage: 103,930 mi","$20,995 
 $381/est. mo
","2011 Ford F-150 Lariat SuperCrew 4WD           Viewed
"
19,"Paterson, NJ",9 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i></span>","2009 Honda CR-V EX AWD           Viewed
","Instant Market Value of $11,926","Mileage: 94,420 mi","$8,491 
 $154/est. mo
","2009 Honda CR-V EX AWD           Viewed
"
20,"Bronx, NY",52 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2013 MINI Cooper Base           Viewed
","Instant Market Value of $13,973","Mileage: 40,546 mi","$9,990 
 $181/est. mo
","2013 MINI Cooper Base           Viewed
"
21,"Englewood, NJ",3 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2013 Lexus ES 300h Base           Viewed
","Instant Market Value of $29,886","Mileage: 26,894 mi","$24,196 
 $439/est. mo
","2013 Lexus ES 300h Base           Viewed
"
22,"Brooklyn, NY",8 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i></span>","2008 Lexus GS 350 AWD           Viewed
","Instant Market Value of $13,485","Mileage: 125,000 mi","$8,999 
 $163/est. mo
","2008 Lexus GS 350 AWD           Viewed
"
23,"Freehold, NJ",37 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue"">none</span>","2013 Honda Crosstour EX-L V6 AWD w/ Navi           Viewed
","Instant Market Value of $23,710","Mileage: 29,792 mi","$19,995 
 $362/est. mo
","2013 Honda Crosstour EX-L V6 AWD w/ Navi           Viewed
"
24,"Brooklyn, NY",27 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue"">none</span>","2004 Honda Accord EX           Viewed
","Instant Market Value of $6,422","Mileage: 114,000 mi","$2,700 
 $49/est. mo
","2004 Honda Accord EX           Viewed
"
25,"Jamaica, NY",9 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_half""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2013 Honda Civic EX           Viewed
","Instant Market Value of $15,324","Mileage: 17,519 mi","$11,852 
 $215/est. mo
","2013 Honda Civic EX           Viewed
"
26,"Parsippany, NJ",128 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_half""></i></span>","2015 Jeep Grand Cherokee Limited 4WD           Viewed
","Instant Market Value of $31,657","Mileage: 31,715 mi","$25,949 
 $470/est. mo
","2015 Jeep Grand Cherokee Limited 4WD           Viewed
"
