,city,state,county
0,holtsville,NY,Suffolk
2,adjuntas,PR,Adjuntas
4,aguadilla,PR,Aguadilla
7,maricao,PR,Maricao
10,arecibo,PR,Arecibo
13,bajadero,PR,Arecibo
14,barceloneta,PR,Barceloneta
27,garrochales,PR,Arecibo
65,patillas,PR,Patillas
70,canovanas,PR,Canóvanas
88,santa isabel,PR,Santa
104,la plata,PR,Aibonito
150,san juan,PR,San
163,sabana seca,PR,Toa
164,toa alta,PR,Toa
167,bayamon,PR,Bayamón
173,catano,PR,Cataño
175,guaynabo,PR,Guaynabo
182,trujillo alto,PR,Trujillo
184,saint just,PR,San
185,carolina,PR,Carolina
194,agawam,MA,Hampden
195,amherst,MA,Hampshire
198,barre,MA,Worcester
199,belchertown,MA,Hampshire
200,blandford,MA,Hampden
201,bondsville,MA,Hampden
202,brimfield,MA,Hampden
203,chester,MA,Hampden
204,chesterfield,MA,Hampshire
205,chicopee,MA,Hampden
210,cummington,MA,Hampshire
211,easthampton,MA,Hampshire
212,east longmeadow,MA,Hampden
213,east otis,MA,Berkshire
214,feeding hills,MA,Hampden
215,gilbertville,MA,Worcester
216,goshen,MA,Hampshire
217,granby,MA,Hampshire
218,granville,MA,Hampden
219,hadley,MA,Hampshire
220,hampden,MA,Hampden
221,hardwick,MA,Worcester
222,hatfield,MA,Hampshire
223,haydenville,MA,Hampshire
224,holyoke,MA,Hampden
226,huntington,MA,Hampshire
227,leeds,MA,Hampshire
228,leverett,MA,Franklin
229,ludlow,MA,Hampden
230,monson,MA,Hampden
231,north amherst,MA,Hampshire
232,northampton,MA,Hampshire
234,florence,MA,Hampshire
236,north hatfield,MA,Franklin
237,oakham,MA,Worcester
238,palmer,MA,Hampden
239,plainfield,MA,Hampshire
240,russell,MA,Hampden
241,shutesbury,MA,Franklin
242,southampton,MA,Hampshire
243,south barre,MA,Worcester
244,south hadley,MA,Hampshire
245,southwick,MA,Hampden
246,thorndike,MA,Hampden
247,three rivers,MA,Hampden
248,wales,MA,Hampden
249,ware,MA,Hampshire
250,warren,MA,Worcester
251,west chesterfield,MA,Hampshire
252,westfield,MA,Hampden
254,west hatfield,MA,Hampshire
255,west springfield,MA,Hampden
257,west warren,MA,Worcester
258,whately,MA,Franklin
259,wheelwright,MA,Worcester
260,wilbraham,MA,Hampden
261,williamsburg,MA,Hampshire
262,woronoco,MA,Hampden
263,worthington,MA,Hampshire
264,springfield,MA,Hampden
269,longmeadow,MA,Hampden
284,indian orchard,MA,Hampden
288,pittsfield,MA,Berkshire
291,adams,MA,Berkshire
292,ashley falls,MA,Berkshire
293,becket,MA,Berkshire
294,berkshire,MA,Berkshire
295,cheshire,MA,Berkshire
296,dalton,MA,Berkshire
298,glendale,MA,Berkshire
299,great barrington,MA,Berkshire
300,hinsdale,MA,Berkshire
301,housatonic,MA,Berkshire
302,lanesboro,MA,Berkshire
303,lee,MA,Berkshire
304,lenox,MA,Berkshire
305,lenox dale,MA,Berkshire
306,middlefield,MA,Hampshire
307,mill river,MA,Berkshire
